pl_name,hostname,starsnum,planetsnum,discoverymethod,disc_year,disc_facility,orbital_period,pl_orbsmax,pl_radius,pl_mass,pl_orbeccen,pl_eqtemp,st_spectype,st_eff_temp,st_radius,st_mass,st_met,st_surface_gravity,sy_distance,sy_vmag,sy_kmag,sy_gaiamag
BD-00 4475 b,BD-00 4475,1,1,Radial Velocity,2021,Haute-Provence Observatory,723.2,1.48,12,7961.6016,0.39,,G0,5040,0.84,0.81,-0.14,4.25,42.6402,9.01,6.996,8.78101
BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,La Silla Observatory,3.8728,0.0428,2.85,8.5,0,,K7/M0 V,4324,0.69,0.7,-0.14,4.74,20.2695,9.7,6.305,9.10677
BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,La Silla Observatory,125.94,0.435,8.38,53,0.31,,K7/M0 V,4324,0.69,0.7,-0.14,4.74,20.2695,9.7,6.305,9.10677
BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,La Silla Observatory,5.6,0.06,3.61,12.7132,0.15,,K3 V,4816,0.71,0.5,-0.06,4.43,41.3342,9.86,7.323,9.50331
BD-08 2823 c,BD-08 2823,1,2,Radial Velocity,2009,La Silla Observatory,237.6,0.68,12.5,104,0.19,,K3 V,4746,0.72,0.74,-0.07,4.13,41.3342,9.86,7.323,9.50331
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,W. M. Keck Observatory,3.48777,0.04,14.1,187.5197,0.02,,K0 V,5393,0.91,1.47,0.38,4.69,84.4069,10.013,8.124,9.83981
BD-11 4672 b,BD-11 4672,1,2,Radial Velocity,2014,La Silla Observatory,1634,2.36,14.1,206.5895,0.05,,K7 V,4550,0.64,0.65,-0.35,4.64,27.1665,10.03,6.867,9.48511
BD-11 4672 c,BD-11 4672,1,2,Radial Velocity,2020,Roque de los Muchachos Observatory,74.2,0.3,4.04,15.37,0.4,,K7V,4550,0.64,0.65,-0.35,4.64,27.1665,10.03,6.867,9.48511
BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,2007,La Silla Observatory,714.29999,1.66,12.5,3108.3774,0.21,,G5 IV/V,4545,19.17,2.12,-0.08,2.2,925.214,10.038,7.151,9.69971
BD-17 63 b,BD-17 63,1,1,Radial Velocity,2008,La Silla Observatory,655.6,1.34,12.8,1620.9,0.54,,K5 V,4714,0.69,0.74,-0.03,4.26,34.4603,9.62,6.914,9.20112
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,Imaging,2011,W. M. Keck Observatory,10037.5,2.6,12.4,3337.1,,370,,580.5,,0.02,,4.72,23.1,,,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,Imaging,2021,Hubble Space Telescope,8040000,200,20.849,2479.06157,,1800,M9-L1,2320,0.24,0.01,,3.85,,,14.593,
CHXR 73 b,CHXR 73,1,1,Imaging,2006,Hubble Space Telescope,,210,12.3,3994.486,,,M3.5,3099,,0.35,,,190.374,,10.703,17.2934
CI Tau b,CI Tau,1,1,Radial Velocity,2019,Multiple Observatories,8.9891,,12.4,3686.828,0.25,,K7,3807,1.88,0.9,,,157.998,13.642,7.793,12.1454
COCONUTS-2 b,COCONUTS-2 A,1,1,Imaging,2021,NASA Infrared Telescope Facility (IRTF),402000000,7506,12.442,2002.31896,,434,M3 V,3406,0.39,0.37,0,4.83,10.8864,11.298,6.579,10.146
CT Cha b,CT Cha,1,1,Imaging,2007,Paranal Observatory,,440,24.66,5403,,2600,K5e,4403,1.68,,-0.56,3.66,190.72,12.335,8.661,11.7733
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,CoRoT,1.5089557,0.02752,16.7,327.35,0,1898,G0 V,5950,1.11,0.95,-0.3,4.25,787.909,13.623,12.149,13.457
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,CoRoT,13.2406,0.1055,10.87,874,0.53,600,K1 V,5075,0.79,0.89,0.26,4.65,338.386,15.293,11.782,14.6645
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,CoRoT,2.99433,0.0436,16.03,740.51,0,1657,F6 V,6440,1.37,1.27,-0.03,4.22,655.037,12.897,11.248,12.841
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,CoRoT,2.828042,0.04016,16.14,291.438,0.07,1442,,5675,1.12,1.08,0.16,4.38,1126.37,15.588,13.557,15.3453
CoRoT-13 b,CoRoT-13,1,1,Transit,2010,CoRoT,4.03519,0.051,9.92,415.704,0,1700,G0 V,5945,1.01,1.09,0.01,4.46,1148.93,15.005,13.376,14.9147
CoRoT-14 b,CoRoT-14,1,1,Transit,2010,CoRoT,1.51214,0.027,12.22,2415.4,0,1952,F9 V,6035,1.21,1.13,0.05,4.35,1744.6,15.932,13.806,15.8116
CoRoT-16 b,CoRoT-16,1,1,Transit,2011,CoRoT,5.35227,0.0618,13.11,170.032,0.33,,G5 V,5650,1.19,1.1,0.19,4.36,732.409,16.052,12.847,15.6507
CoRoT-17 b,CoRoT-17,1,1,Transit,2011,CoRoT,3.7681,0.0461,11.43,772.29,0,1626,G2 V,5740,1.59,1.04,0,4.4,1176.12,16.29,12.472,15.4368
CoRoT-18 b,CoRoT-18,1,1,Transit,2011,CoRoT,1.9000693,0.0295,14.68,1102.82,0.08,1550,G9 V,5440,1,0.95,-0.1,4.4,764.889,14.868,13.014,14.8009
CoRoT-19 b,CoRoT-19,1,1,Transit,2011,CoRoT,3.89713,0.0518,14.46,352.78,0.047,2000,F9 V,6090,1.65,1.21,-0.02,4.07,790.663,14.135,11.837,13.7831
CoRoT-2 b,CoRoT-2,2,1,Transit,2008,CoRoT,1.7429935,0.02798,16.432,1102.82,0.0143,1521,,5625,0.91,0.96,0.04,4.53,213.283,12.516,10.31,12.2489
CoRoT-20 b,CoRoT-20,1,2,Transit,2011,CoRoT,9.24285,0.09,9.416,1366.669,0.59,1024,G2 V,5880,1.02,1.14,0.14,4.35,844.061,14.63,12.513,14.4686
CoRoT-20 c,CoRoT-20,1,2,Radial Velocity,2018,Multiple Observatories,1675,2.9,12.2,5403.11,0.6,,G2 V,4947.5,1.37,1.14,0.14,4.35,844.061,14.63,12.513,14.4686
CoRoT-21 b,CoRoT-21,1,1,Transit,2012,CoRoT,2.72474,0.0417,14.572,718.2958,0,,F8 IV,6200,1.95,1.29,0,3.7,1398.834197,16.058,13.813,15.8558
CoRoT-22 b,CoRoT-22,1,1,Transit,2014,CoRoT,9.75598,0.092,4.88,12.2,0.077,885,G3 V,5939,1.14,1.1,0.17,4.36,627.158,13.82,11.988,13.7305
CoRoT-23 b,CoRoT-23,1,1,Transit,2011,CoRoT,3.6313,0.048,11.77,889.9,0.16,1660,G0 V,5900,1.61,1.14,0.05,4.3,1060.97,15.675,12.364,15.0681
CoRoT-24 b,CoRoT-24,1,2,Transit,2014,CoRoT,5.1134,0.056,3.7,5.7,0,1070,K1 V,4950,0.86,0.91,0.3,4.55,591.555,15.383,12.924,15.1801
CoRoT-24 c,CoRoT-24,1,2,Transit,2014,CoRoT,11.759,0.098,5,28,0,850,K1 V,4950,0.86,0.91,0.3,4.55,591.555,15.383,12.924,15.1801
CoRoT-25 b,CoRoT-25,1,1,Transit,2013,CoRoT,4.86069,0.0578,12.11,85.81,0,1330,F9,6040,1.19,1.09,-0.01,4.31,1103.48,14.79,12.846,14.711
CoRoT-26 b,CoRoT-26,1,1,Transit,2013,CoRoT,4.20474,0.0526,14.12,165.26,0,1600,G5,5590,1.79,1.09,0.01,3.99,1045.18,15.861,13.261,15.4682
CoRoT-27 b,CoRoT-27,1,1,Transit,2014,CoRoT,3.57532,0.0476,11.287,3302.11,0.065,1500,G2,5900,1.08,1.05,-0.1,4.4,1010.28,15.774,12.985,15.3902
CoRoT-28 b,CoRoT-28,1,1,Transit,2015,CoRoT,5.20851,0.0603,10.705,153.82972,0.047,,G8/9 IV,5150,1.78,1.01,0.15,3.6,766.183,13.783,11.032,13.4119
CoRoT-29 b,CoRoT-29,1,1,Transit,2015,CoRoT,2.85057,0.0386,10.088,270.1555,0.082,,K0 V,5260,0.9,0.97,0.2,4.3,806.507,15.408,13.048,15.2394
CoRoT-3 b,CoRoT-3,1,1,Transit,2008,CoRoT,4.2568,0.05783,11.32,6883.91,0,1695,F3 V,6740,1.56,1.37,0.14,4.22,768.771,13.448,11.618,13.2188
